x,類型,序號,題目,選項,,,,,答案,題目文字尺寸,選項文字尺寸,圖片完整檔名,題目音檔完整檔名,答案音檔完整檔名
,type,qnum,text,options[0],options[1],options[2],options[3],options[4],answer,textfz,optionfz,imageFileName,musicFileNames[0],musicFileNames[1]
,LANGUAGE,1,"東臨碣石，以觀滄海。水何澹澹，山島竦峙。樹木叢生，百草豐茂。
秋風蕭瑟，洪波涌起。日月之行，若出其中。星漢燦爛，若出其裏。
幸甚至哉，歌以詠志。
步出夏門行·觀滄海 的作者是誰?",曹植,曹丕,曹操,曹仁,曹叡,C,,,,,
,LANGUAGE,2,"《虞美人》問君能有幾多愁？恰似一江春水向東流
的作者: 李煜 死後葬於何處?",東郊皇陵,洛陽邙山,廣東佛山,洛陽首陽山,鄴之西岡,B,,,,,
,LANGUAGE,3,以下古文對應現代語何著有誤:,"吾賞八十有七
(這我給87分)","此言差矣
(我覺得可以)","乳身聳然
(嚇死寶寶了)","你有對子嗎?
(你有FreeStyle嗎?)","吾眼?深
(我眼睛業障重)",B,,,,,
,LANGUAGE,4,以下何種稱呼對應的年齡最小?,赤子,強褓,孩提,垂髫,黃口,A,,,,,
,LANGUAGE,5,"煮豆持作羹，漉菽以?汁。萁在釜下燃，豆在釜中泣。本自同根生，相煎何太急？
曹植《七步成詩》中，煮豆煮的是何種豆?",毛豆,薺豆,腕豆,扁豆,甜豆,C,,,,,
,LANGUAGE,6,三蘇是指 蘇軾 蘇轍 蘇洵 請問他是誰 ?,蘇東坡,蘇子由,蘇步起,蘇明允,蘇老泉,B,,,su.jpg,,
,LANGUAGE,7,"大江東去，浪淘盡，千古風流人物。故壘西邊，人道是，三國周郎赤壁。
亂石穿空，驚濤拍岸，捲起千堆雪。江山如畫，一時多少豪傑。
遙想公瑾當年，小喬初嫁了，雄姿英發。羽扇綸巾，談笑間，檣櫓灰飛煙滅。
故國神遊，多情應笑我，早生華髮。人生如夢，一尊還酹江月
《念奴?·赤壁怀古》是蘇軾被貶到何地所寫下的詩詞?",黃洲,蘇洲,廣洲,江洲,泉洲,A,,,,,
,LANGUAGE,8,"圖畫裡，龍不吟，虎不嘯，小小書童可笑可笑。
棋盤裡，車無輪，馬無韁，叫聲將軍提防提防。
唐寅 (伯虎) ，號六如居士，為江南四大才子之首，請問唐伯虎是哪一個朝代的人?",唐,周,宋,元,明,E,,,,,
,LANGUAGE,9,中國古典四大名著以下何者為非?,三國演義,西遊記,水滸傳,紅樓夢,三國志,E,,,,,
